2025-11-22 17:26:28 | User:1 | Role:admin | Action:REGISTER | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-22 17:26:39 | User:1 | Role:admin | Action:LOGIN | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-22 17:26:41 | User:1 | Role:admin | Action:VIEW | Entity:Product | EntityId:0 | Status:SUCCESS
2025-11-22 17:28:46 | User:1 | Role:admin | Action:CREATE | Entity:Product | EntityId:1 | Status:SUCCESS
2025-11-22 17:28:50 | User:1 | Role:admin | Action:VIEW | Entity:Product | EntityId:0 | Status:SUCCESS
2025-11-22 17:29:42 | User:1 | Role:admin | Action:CREATE | Entity:Product | EntityId:2 | Status:SUCCESS
2025-11-22 17:29:46 | User:1 | Role:admin | Action:VIEW | Entity:Product | EntityId:0 | Status:SUCCESS
2025-11-22 17:30:56 | User:1 | Role:admin | Action:UPDATE | Entity:Product | EntityId:1 | Status:SUCCESS
2025-11-22 17:31:58 | User:2 | Role:user | Action:REGISTER | Entity:User | EntityId:2 | Status:SUCCESS
2025-11-22 17:32:07 | User:2 | Role:user | Action:LOGIN | Entity:User | EntityId:2 | Status:SUCCESS
2025-11-22 17:32:09 | User:2 | Role:user | Action:VIEW | Entity:Product | EntityId:0 | Status:SUCCESS
2025-11-26 19:36:21 | User:1 | Role:admin | Action:REGISTER | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-26 19:40:02 | User:1 | Role:admin | Action:REGISTER | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-26 19:42:46 | User:1 | Role:admin | Action:LOGIN | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-26 19:48:03 | User:1 | Role:admin | Action:LOGIN | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-26 20:04:59 | User:1 | Role:admin | Action:CREATE | Entity:Product | EntityId:3 | Status:SUCCESS
2025-11-26 20:05:46 | User:1 | Role:admin | Action:VIEW | Entity:Product | EntityId:0 | Status:SUCCESS
2025-11-26 20:06:51 | User:1 | Role:admin | Action:UPDATE | Entity:Product | EntityId:3 | Status:SUCCESS
2025-11-26 20:07:15 | User:1 | Role:admin | Action:DELETE | Entity:Product | EntityId:3 | Status:SUCCESS
2025-11-26 20:12:40 | User:1 | Role:admin | Action:LOGIN | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-26 20:12:44 | User:1 | Role:admin | Action:VIEW | Entity:Product | EntityId:0 | Status:SUCCESS
2025-11-26 20:13:36 | User:1 | Role:admin | Action:CREATE | Entity:Product | EntityId:3 | Status:SUCCESS
2025-11-26 20:16:58 | User:1 | Role:admin | Action:LOGIN | Entity:User | EntityId:1 | Status:SUCCESS
2025-11-26 20:20:24 | User:1 | Role:admin | Action:LOGIN | Entity:User | EntityId:1 | Status:SUCCESS
